tweets,id,date,likes,retweets,clean_tweet,sentiment_negative,sentiment_positive,sentiment_neutral,subjectivity
"H. E. Bawumia can laugh like a jackal, but the reality of the Ghanaian economy and politics would catch up with the NPP Government. Lies galore! Vote against NPP in 2020 general elections and Gazette H.E. John Dramani Mahama as President of the Republic of Ghana.",1230840311271829504,2020-02-21 13:02:52+00:00,0.0,0.0,h e bawumia laugh like jackal reality ghanaian economy politics would catch npp government lies galore vote npp general elections gazette h.e john dramani mahama president republic ghana,0.083,0.355,0.737,0.3
"All because of John Dramani Mahama #GovernmentOfficial1 #SayNoToConMahama Airbus Defence and Space to cut more than 2,300 jobs",1230839618511294464,2020-02-21 13:00:07+00:00,1.0,0.0,john dramani mahama governmentofficial1 saynotoconmahama airbus defence space cut jobs,0.183,0.122,0.696,0.0
"President Nana Akufo-Addo has taken a swipe at former President John Dramani Mahama, describing him as someone who wants to return to power to reverse the country’s development. http://bit.ly/3bYROtW",1230834807598276608,2020-02-21 12:41:00+00:00,1.0,2.0,president nana akufoaddo taken swipe former president john dramani mahama describing someone wants return power reverse development URL,0.0,0.1,1.0,0.05
CURRICULUM VITAE (CV) OF JOHN DRAMANI MAHAMA A.K.A GOVERNMENT OFFICIAL 1 (G. O 1) PART 1 http://breakingnewsgh.com/curriculum-vitae-cv-of-john-dramani-mahama-a-k-a-government-official-1-g-o-1-part-1/,1230828225783386113,2020-02-21 12:14:51+00:00,0.0,0.0,curriculum vitae cv john dramani mahama a.k.a government official g part URL,0.0,0.0,1.0,0.0
Vote John Dramani Mahama. ,1230773743804248071,2020-02-21 08:38:21+00:00,0.0,0.0,vote john dramani mahama,0.0,0.0,1.0,0.0
"In 2015 and 2016 you this hypocrite @Sammens sat on vasat one to rubbish john dramani mahama Asphalt Road that you will wake up the next morning you will see in front of ur house road turn to black is this a good road"" this are your words. Hypocrite Man",1230773662766133248,2020-02-21 08:38:02+00:00,0.0,0.0,hypocrite USER_MENTION sat vasat one rubbish john dramani mahama asphalt road wake next morning see front ur house road turn black good road words hypocrite man,0.0,0.2817777777777778,0.896,0.3444444444444445
Were the npp (the who never done wrong) present at the investiture of fmr president John Dramani Mahama on the 7th January 2013 Can somebody ask them for me pls ,1230753582091079680,2020-02-21 07:18:14+00:00,1.0,0.0,npp never done wrong present investiture fmr president john dramani mahama january somebody ask pls,0.25,0.229,0.771,0.45
"Ghana will retrogress if Mahama is re-elected – Akufo-Addo: President Nana Akufo-Addo has taken a swipe at former President John Dramani Mahama, describing him as someone who wants to return to power to reverse the… https://www.instagram.com/p/B80eh7_HJn8/?igshid=di9tgce2m6t6",1230750845366497280,2020-02-21 07:07:22+00:00,0.0,0.0,ghana retrogress mahama reelected akufoaddo president nana akufoaddo taken swipe former president john dramani mahama describing someone wants return power reverse URL,0.0,0.1,1.0,0.05
Mr John Dramani Mahama who was speaking at Sefwi-Debeiso on day two of his Western North tour accused the government of selling fertilizers that were supposed to be freely supplied to the farmers. ,1230738452406124544,2020-02-21 06:18:07+00:00,15.0,1.0,mr john dramani mahama speaking sefwidebeiso day two western north tour accused government selling fertilizers supposed freely supplied farmers,0.1,0.331,0.769,0.4
"John Dramani Mahama, former President and the leader of the opposition National Democratic Congress (NDC), has already started promising... https://is.gd/qatX1y",1230721073097740288,2020-02-21 05:09:04+00:00,0.0,0.0,john dramani mahama former president leader opposition national democratic congress ndc already started promising URL,0.0,0.262,0.838,0.25
